Category,Assigned
Paychecks,Paycheck
Interest,Fees/Interest
Business Income,Business Income
Other Income,Other Income
Charity,Charity
Gifts,Shopping - General
Auto Payment,Car Payment
Public Transit,Commute/Parking
Gas,Gas/Convenience Stores
Auto Maintenance,Automotive
Parking & Tolls,Commute/Parking
Taxi & Ride Shares,Taxi/Rideshare
Mortgage,Mortgage or Rent
Rent,Mortgage or Rent
Home Improvement,Home Improvement/Shopping
Garbage,Garbage
Water,Water
Gas & Electric,Gas and Electric
Internet & Cable,Internet
Phone,Phone
Groceries,Groceries
Restaurants & Bars,Restaurants/Delivery/Take Out
Coffee Shops,Restaurants/Delivery/Take Out
Travel & Vacation,Lodging
Entertainment & Recreation,Entertainment - General
Personal,Personal Care
Pets,Pets
Fun Money,Entertainment - General
Shopping,Shopping - General
Clothing,Clothing
Furniture & Housewares,Home Improvement/Shopping
Electronics,Electronics
Child Care,Aftercare/Childcare/Tuition
Child Activities,Kids Activities
Student Loans,Student Loans
Education,Education
Medical,Doctor/Medical
Dentist,Doctor/Medical
Fitness,Gym/Fitness
Loan Repayment,Debt Payment
Financial & Legal Services,Business Services
Financial Fees,Fees/Interest
Cash & ATM,Cash/ATM
Insurance,Insurance
Taxes,Taxes
Uncategorized,Unknown
Check,Checks
Miscellaneous,Unknown
Advertising & Promotion,Business Services
Business Utilities & Communication,Business Services
Employee Wages & Contract Labor,Business Services
Business Travel & Meals,Unknown
Business Auto Expenses,Unknown
Business Insurance,Unknown
Office Supplies & Expenses,Shopping - General
Office Rent,Unknown
Postage & Shipping,Business Services
Transfer,Transfer
Credit Card Payment,CC Payment
Balance Adjustments,Transfer
